Sample	File Name	MD5 Checksum
rBA.2.9.1 (rBA.2_S:L452M)	124B_rBA.2.9.1_S-GFP_L001_R1_001.fastq.gz	6896a604decd51c731561dcebf01a12c
rBA.2.9.1 (rBA.2_S:L452M)	124B_rBA.2.9.1_S-GFP_L001_R2_001.fastq.gz	8deba7273ca5f31d7f51255293df562b
rBA.2.11 (rBA.2_S:L452R)	A_rBA.2.11_S1_L001_R1_001.fastq.gz	d40a6a22ce9241253fc0d953e6b6f727
rBA.2.11 (rBA.2_S:L452R)	A_rBA.2.11_S1_L001_R2_001.fastq.gz	406408eaa8126f81c5a9bd336d15a9f5
rBA.2.9.1 (rBA.2_S:L452M)	B_rBA.2.9.1_S2_L001_R1_001.fastq.gz	565382c6c353156f833d49d274611d47
rBA.2.9.1 (rBA.2_S:L452M)	B_rBA.2.9.1_S2_L001_R2_001.fastq.gz	75966a55529d5ee4acc2a5dcaf4906d3
rBA.2.12.1 (rBA.2_S:L452Q/S704L)	C_rBA.2.12.1_S3_L001_R1_001.fastq.gz	fd90de38d16bdd6c612fab67bf05b572
rBA.2.12.1 (rBA.2_S:L452Q/S704L)	C_rBA.2.12.1_S3_L001_R2_001.fastq.gz	6d6b268719c2a0b6ee3955480de9b2a8
rBA.4/5 (rBA.2_S:L452R HV69-70del/F486V/R493Q)	D_rBA.4_5_S4_L001_R1_001.fastq.gz	24487dfeb2142c33dae37d902d2b8e19
rBA.4/5 (rBA.2_S:L452R HV69-70del/F486V/R493Q)	D_rBA.4_5_S4_L001_R2_001.fastq.gz	7ea016e4a115c2e62378eea3c9ecd7ad
rBA.2	E_rBA.2_S5_L001_R1_001.fastq.gz	4205e93c1ff0a7802caeb2850e30e8da
rBA.2	E_rBA.2_S5_L001_R2_001.fastq.gz	8eea638a4cded216179b36f3716fb5c7
rBA.2.11 S-GFP (rBA.2_S:L452R)	KS123P1A_S4_L001_R1_001.fastq.gz	a5c718c9566e43537010c03503d3981b
rBA.2.11 S-GFP (rBA.2_S:L452R)	KS123P1A_S4_L001_R2_001.fastq.gz	8dae4cefce47fe98521815d47cf17c2d
rBA.2.12.1 S-GFP (rBA.2_S:L452Q/S704L)	KS125P1A_S8_L001_R1_001.fastq.gz	c6c4ba61ace574f2a1749384320a14a2
rBA.2.12.1 S-GFP (rBA.2_S:L452Q/S704L)	KS125P1A_S8_L001_R2_001.fastq.gz	2eaa0e40b3f31cc7b51747e5150c291b
rBA.4/5 S-GFP (rBA.2_S:L452R HV69-70del/F486V/R493Q)	KS126P1A_S10_L001_R1_001.fastq.gz	438beb9536e4e412062689acf27327e9
rBA.4/5 S-GFP (rBA.2_S:L452R HV69-70del/F486V/R493Q)	KS126P1A_S10_L001_R2_001.fastq.gz	e5fc0bee440938a78787d12eb994975f
rBA.2 S-GFP	KS77C_S21_L001_R1_001.fastq.gz	e953d8fed94377f101b9fcc3d6c9d8dc
rBA.2 S-GFP	KS77C_S21_L001_R2_001.fastq.gz	44563053b3f7d07fcf84c16eac2c9e5e
