Accession.ID	country	Pango.lineage
EPI_ISL_10739976	Germany	BA.2
EPI_ISL_10906083	Germany	BA.2.9
EPI_ISL_11459136	Germany	BA.2
EPI_ISL_10929772	Sweden	BA.2.9
EPI_ISL_11611834	Germany	BA.2.9
EPI_ISL_10921253	Germany	BA.2.9
EPI_ISL_12026374	Germany	BA.2.9
EPI_ISL_10312141	Germany	BA.2.9
EPI_ISL_11636250	Germany	BA.2.9
EPI_ISL_10764641	Germany	BA.2.9
EPI_ISL_11610865	Germany	BA.2.9
EPI_ISL_11668367	Germany	BA.2.9
EPI_ISL_12015797	Germany	BA.2.9
EPI_ISL_12020710	Germany	BA.2.9
EPI_ISL_12194315	Germany	BA.2.9
EPI_ISL_12026402	Germany	BA.2
EPI_ISL_10921242	Germany	BA.2
EPI_ISL_12194246	Germany	BA.2.9
EPI_ISL_11617484	Germany	BA.2
EPI_ISL_10024827	Germany	BA.2
EPI_ISL_11610122	Germany	BA.2
EPI_ISL_11668253	Germany	BA.2.9
EPI_ISL_11610836	Germany	BA.2
EPI_ISL_12026557	Germany	BA.2
EPI_ISL_12021838	Germany	BA.2.9
EPI_ISL_11459467	Germany	BA.2
EPI_ISL_12022365	Germany	BA.2.9
EPI_ISL_11668189	Germany	BA.2
EPI_ISL_11470098	Germany	BA.2.9
EPI_ISL_10982320	Denmark	BA.2.9
EPI_ISL_12159780	Denmark	BA.2.9
EPI_ISL_10217267	Denmark	BA.2.9
EPI_ISL_9123443	Denmark	BA.2.9
EPI_ISL_10062471	Denmark	BA.2.9
EPI_ISL_10814304	Denmark	BA.2.9
EPI_ISL_11379280	Denmark	BA.2.9
EPI_ISL_10677408	Denmark	BA.2.9
EPI_ISL_10893779	Denmark	BA.2.9
EPI_ISL_12021487	Germany	BA.2.9
EPI_ISL_12161112	Denmark	BA.2.9
EPI_ISL_10733278	Denmark	BA.2.9
EPI_ISL_9162679	Denmark	BA.2.9
EPI_ISL_11650103	Germany	BA.2
EPI_ISL_11380546	Denmark	BA.2.9
EPI_ISL_11315545	Denmark	BA.2.9
EPI_ISL_11988270	Denmark	BA.2.9
EPI_ISL_12163516	Denmark	BA.2.9
EPI_ISL_10812175	Denmark	BA.2.9
EPI_ISL_11650371	Denmark	BA.2.9
EPI_ISL_11988434	Denmark	BA.2.9
EPI_ISL_12015002	Germany	BA.2.9
EPI_ISL_12016716	Germany	BA.2.9
EPI_ISL_11617168	Germany	BA.2.9
EPI_ISL_11611024	Germany	BA.2
EPI_ISL_9223667	Germany	BA.2.9
EPI_ISL_12026346	Germany	BA.2.9
EPI_ISL_11667876	Germany	BA.2
EPI_ISL_12199125	Germany	BA.2.9
EPI_ISL_10312126	Germany	BA.2
EPI_ISL_12183624	USA	BA.2.9
EPI_ISL_12113810	USA	BA.2.9
EPI_ISL_12183806	USA	BA.2.9
EPI_ISL_11903363	USA	BA.2.9
EPI_ISL_11270376	United Kingdom	BA.2.9
EPI_ISL_12168738	USA	BA.2.9
EPI_ISL_11835379	USA	BA.2.9
EPI_ISL_11660619	Norway	BA.2.9
EPI_ISL_10796674	United Kingdom	BA.2.9
EPI_ISL_11810852	Norway	BA.2.9
EPI_ISL_10786590	Sweden	BA.2.9
EPI_ISL_12143601	Sweden	BA.2.9
EPI_ISL_12159890	Denmark	BA.2.9
EPI_ISL_11583627	Denmark	BA.2.9
EPI_ISL_11552018	Denmark	BA.2.9
EPI_ISL_12194427	Germany	BA.2.9
EPI_ISL_11783197	Denmark	BA.2.9
EPI_ISL_11519136	Denmark	BA.2.9
EPI_ISL_9584543	United Kingdom	BA.2.9
EPI_ISL_12013680	Germany	BA.2.9
EPI_ISL_11306790	United Kingdom	BA.2.9
EPI_ISL_11113244	Denmark	BA.2.9
EPI_ISL_9168621	Denmark	BA.2.9
EPI_ISL_11381184	Denmark	BA.2.9
EPI_ISL_9164283	Denmark	BA.2.9
EPI_ISL_10013548	Denmark	BA.2.9
EPI_ISL_11701743	Poland	BA.2.9
EPI_ISL_11933146	Spain	BA.2.9
EPI_ISL_12055063	Poland	BA.2.9
EPI_ISL_11177053	Mexico	BA.2.9
EPI_ISL_11761129	Czech Republic	BA.2.9
EPI_ISL_11611964	Germany	BA.2.9
EPI_ISL_10914680	Germany	BA.2.9
EPI_ISL_9733129	Germany	BA.2
EPI_ISL_12092999	Israel	BA.2.9
EPI_ISL_10915610	Germany	BA.2.9
EPI_ISL_11659974	Netherlands	BA.2.9
EPI_ISL_12138022	Denmark	BA.2.9
EPI_ISL_11271153	United Kingdom	BA.2.9
EPI_ISL_12181905	USA	BA.2.9
EPI_ISL_11651042	United Kingdom	BA.2.9
EPI_ISL_11208807	Denmark	BA.2.9
EPI_ISL_11262896	Norway	BA.2.9
EPI_ISL_10011082	Denmark	BA.2.9
EPI_ISL_11064732	Denmark	BA.2.9
EPI_ISL_11063959	Denmark	BA.2.9
EPI_ISL_10201736	Denmark	BA.2.9
EPI_ISL_11451955	Germany	BA.2.9
EPI_ISL_10351847	Denmark	BA.2.9
EPI_ISL_12160395	Denmark	BA.2.9
EPI_ISL_10260850	Denmark	BA.2.9
EPI_ISL_10587963	Norway	BA.2.9
EPI_ISL_10796390	United Kingdom	BA.2.9
EPI_ISL_11913482	Denmark	BA.2.9
EPI_ISL_10983472	Denmark	BA.2.9
EPI_ISL_10510885	Denmark	BA.2.9
EPI_ISL_11117659	Denmark	BA.2.9
EPI_ISL_10257838	Denmark	BA.2.9
EPI_ISL_10915856	Germany	BA.2.9
EPI_ISL_9065659	Denmark	BA.2.9
EPI_ISL_9448934	Denmark	BA.2.9
EPI_ISL_10809834	Denmark	BA.2.9
EPI_ISL_11400384	United Kingdom	BA.2.9
EPI_ISL_12162352	Denmark	BA.2.9
EPI_ISL_10202180	Denmark	BA.2.9
EPI_ISL_11877669	Denmark	BA.2.9
EPI_ISL_9270630	Denmark	BA.2.9
EPI_ISL_11208731	Denmark	BA.2.9
EPI_ISL_11347883	Denmark	BA.2.9
EPI_ISL_11210842	Denmark	BA.2.9
EPI_ISL_9741327	Denmark	BA.2.9
EPI_ISL_9654005	Denmark	BA.2.9
EPI_ISL_10507468	Denmark	BA.2.9
EPI_ISL_11159610	Denmark	BA.2.9
EPI_ISL_11028670	Denmark	BA.2.9
EPI_ISL_11786244	Denmark	BA.2.9
EPI_ISL_11720950	Denmark	BA.2.9
EPI_ISL_10732270	Denmark	BA.2.9
EPI_ISL_10400009	Denmark	BA.2.9
EPI_ISL_10636490	Denmark	BA.2.9
EPI_ISL_11281852	Denmark	BA.2.9
EPI_ISL_12164459	Denmark	BA.2.9
EPI_ISL_10012564	Denmark	BA.2.9
EPI_ISL_12137752	Denmark	BA.2.9
EPI_ISL_10253193	Denmark	BA.2.9
EPI_ISL_10511232	Denmark	BA.2.9
EPI_ISL_11262514	Slovakia	BA.2.9
EPI_ISL_10770342	Slovakia	BA.2.9
EPI_ISL_11289162	United Kingdom	BA.2.9
EPI_ISL_10471793	United Kingdom	BA.2.9
EPI_ISL_10353503	Denmark	BA.2.9
EPI_ISL_11649604	Denmark	BA.2.9
EPI_ISL_11277552	United Kingdom	BA.2.9
EPI_ISL_10910391	Germany	BA.2.9
EPI_ISL_9063992	Denmark	BA.2.9
EPI_ISL_10061768	Denmark	BA.2.9
EPI_ISL_10632558	United Kingdom	BA.2.9
EPI_ISL_11660612	Norway	BA.2.9
EPI_ISL_9444022	Germany	BA.2.9
EPI_ISL_10011999	Denmark	BA.2.9
EPI_ISL_11783293	Denmark	BA.2.9
EPI_ISL_10319491	Denmark	BA.2.9
EPI_ISL_9695514	Denmark	BA.2.9
EPI_ISL_11650654	Germany	BA.2
EPI_ISL_10218021	Denmark	BA.2.9
EPI_ISL_11817370	Germany	BA.2.9
EPI_ISL_12189836	Germany	BA.2.9
EPI_ISL_12027289	Germany	BA.2.9
EPI_ISL_12198242	Germany	BA.2.9
EPI_ISL_11635304	Germany	BA.2.9
EPI_ISL_11640697	Germany	BA.2.9
EPI_ISL_12141290	United Kingdom	BA.2.9
EPI_ISL_9739800	Denmark	BA.2.9
EPI_ISL_10861802	Denmark	BA.2.9
EPI_ISL_8655470	Denmark	BA.2.9
EPI_ISL_11209285	Denmark	BA.2.9
EPI_ISL_10013765	Denmark	BA.2.9
EPI_ISL_10732555	Denmark	BA.2.9
EPI_ISL_11989267	Denmark	BA.2.9
EPI_ISL_11596758	Germany	BA.2.9
EPI_ISL_11650326	Germany	BA.2.9
EPI_ISL_11459972	United Kingdom	BA.2.9
EPI_ISL_11602188	United Kingdom	BA.2.9
EPI_ISL_11602063	United Kingdom	BA.2.9
EPI_ISL_11228126	United Kingdom	BA.2.9
EPI_ISL_11837639	United Kingdom	BA.2.9
EPI_ISL_11837538	United Kingdom	BA.2.9
EPI_ISL_11226952	United Kingdom	BA.2.9
EPI_ISL_11322519	United Kingdom	BA.2.9
EPI_ISL_11061553	United Kingdom	BA.2.9
EPI_ISL_11494445	United Kingdom	BA.2.9
EPI_ISL_11561737	United Kingdom	BA.2.9
EPI_ISL_12091875	Israel	BA.2.9
EPI_ISL_11860122	Israel	BA.2.9
EPI_ISL_11491046	USA	BA.2.9
EPI_ISL_12158509	United Kingdom	BA.2.9
EPI_ISL_11872018	United Kingdom	BA.2.9
EPI_ISL_10751321	United Kingdom	BA.2.9
EPI_ISL_12096193	United Kingdom	BA.2.9
EPI_ISL_11399923	United Kingdom	BA.2.9
EPI_ISL_11513523	France	BA.2
EPI_ISL_10256312	Poland	BA.2.9
EPI_ISL_10256590	Poland	BA.2.9
EPI_ISL_10800874	United Kingdom	BA.2.9
EPI_ISL_12055109	Poland	BA.2.9
EPI_ISL_11025580	Denmark	BA.2.9
EPI_ISL_12123981	Poland	BA.2.9
EPI_ISL_10069534	Poland	BA.2.9
EPI_ISL_12099784	Poland	BA.2.9
EPI_ISL_11617491	Germany	BA.2.9
EPI_ISL_12198844	Germany	BA.2.9
EPI_ISL_12021034	Germany	BA.2.9
EPI_ISL_10906086	Germany	BA.2.9
EPI_ISL_12021623	Germany	BA.2.9
EPI_ISL_11668293	Germany	BA.2.9
EPI_ISL_11667882	Germany	BA.2.9
EPI_ISL_11667980	Germany	BA.2.9
EPI_ISL_11459715	Germany	BA.2.9
EPI_ISL_11381236	Chile	BA.2.9
EPI_ISL_10093471	Denmark	BA.2.9
EPI_ISL_11987932	Denmark	BA.2.9
EPI_ISL_11520486	Denmark	BA.2.9
EPI_ISL_11381459	Denmark	BA.2.9
EPI_ISL_11444725	Denmark	BA.2.9
EPI_ISL_11652795	Denmark	BA.2.9
EPI_ISL_11617731	Germany	BA.2.9
EPI_ISL_12193852	Germany	BA.2.9
EPI_ISL_12018847	Germany	BA.2.9
EPI_ISL_11598012	Germany	BA.2.9
EPI_ISL_12199436	Germany	BA.2.9
EPI_ISL_10739079	Germany	BA.2.9
EPI_ISL_10922283	Germany	BA.2.9
EPI_ISL_10921794	Germany	BA.2.9
EPI_ISL_12199302	Germany	BA.2.9
EPI_ISL_12014707	Germany	BA.2.9
EPI_ISL_10025102	Germany	BA.2.9
EPI_ISL_11979766	United Kingdom	BA.2.9
EPI_ISL_12124674	United Kingdom	BA.2.9
EPI_ISL_11648709	Germany	BA.2.9
EPI_ISL_12191842	Germany	BA.2.9
EPI_ISL_11963924	Germany	BA.2.9
EPI_ISL_12201538	Germany	BA.2.9
EPI_ISL_10401446	Denmark	BA.2.9
EPI_ISL_10983911	Denmark	BA.2.9
EPI_ISL_9453073	Denmark	BA.2.9
EPI_ISL_10094035	Denmark	BA.2.9
EPI_ISL_9787697	Denmark	BA.2.9
EPI_ISL_12195953	Germany	BA.2.9
EPI_ISL_9364814	Denmark	BA.2.9
EPI_ISL_11720385	Denmark	BA.2.9
EPI_ISL_12022912	Denmark	BA.2.9
EPI_ISL_11833483	Denmark	BA.2.9
EPI_ISL_9658249	Poland	BA.2.9
EPI_ISL_9673434	Poland	BA.2.9
EPI_ISL_11638791	Germany	BA.2.9
EPI_ISL_10732828	Denmark	BA.2.9
EPI_ISL_10790931	USA	BA.2.9
EPI_ISL_12055073	Poland	BA.2.9
EPI_ISL_10968765	Thailand	BA.2.9
EPI_ISL_12080794	USA	BA.2.9
EPI_ISL_11965162	Germany	BA.2.9
EPI_ISL_11026196	Denmark	BA.2.9
EPI_ISL_11346752	Denmark	BA.2.9
EPI_ISL_9168079	Denmark	BA.2.9
EPI_ISL_9166118	Denmark	BA.2.9
EPI_ISL_11962327	Germany	BA.2.9
EPI_ISL_11677446	Germany	BA.2
EPI_ISL_11557450	United Kingdom	BA.2.9
EPI_ISL_11996692	United Kingdom	BA.2.9
EPI_ISL_11442883	Denmark	BA.2.9
EPI_ISL_11480851	Germany	BA.2.9
EPI_ISL_9787854	Denmark	BA.2.9
EPI_ISL_9365929	Denmark	BA.2.9
EPI_ISL_10893016	Denmark	BA.2.9
EPI_ISL_10260972	Denmark	BA.2.9
EPI_ISL_11351407	USA	BA.2.9
EPI_ISL_11724269	Denmark	BA.2.9
EPI_ISL_10918846	Germany	BA.2.9
EPI_ISL_11761242	Czech Republic	BA.2.9
EPI_ISL_12178329	United Kingdom	BA.2.9
EPI_ISL_11832257	Denmark	BA.2.9
EPI_ISL_10564169	Netherlands	BA.2.9
EPI_ISL_10438184	Belgium	BA.2.9
EPI_ISL_11565157	Belgium	BA.2.9
EPI_ISL_9121135	Denmark	BA.2.9
EPI_ISL_10064824	Denmark	BA.2.9
EPI_ISL_11647928	Denmark	BA.2
EPI_ISL_11876529	Denmark	BA.2.9
EPI_ISL_10732763	Sweden	BA.2.9
EPI_ISL_10062236	Denmark	BA.2.9
EPI_ISL_11233651	Spain	BA.2.9
EPI_ISL_10894694	Switzerland	BA.2.9
EPI_ISL_11633522	Guadeloupe	BA.2.9
EPI_ISL_11481719	United Kingdom	BA.2
EPI_ISL_10989951	United Kingdom	BA.2.9
EPI_ISL_11633518	Guadeloupe	BA.2.9
EPI_ISL_12113955	USA	BA.2.9
EPI_ISL_10679289	Denmark	BA.2.9
EPI_ISL_11213876	Sweden	BA.2.9
EPI_ISL_9856335	Denmark	BA.2.9
EPI_ISL_12024891	France	BA.2.9
EPI_ISL_11825300	France	BA.2.9
EPI_ISL_8703612	Denmark	BA.2.9
EPI_ISL_9409490	Denmark	BA.2.9
EPI_ISL_11872151	United Kingdom	BA.2.9
EPI_ISL_11027997	Denmark	BA.2.9
EPI_ISL_10477655	Sweden	BA.2
EPI_ISL_10679732	Denmark	BA.2.9
