Accession.ID	Pango.lineage
EPI_ISL_10646461	BA.1
EPI_ISL_9401667	BA.1
EPI_ISL_10667129	BA.1
EPI_ISL_10667147	BA.1
EPI_ISL_8616689	BA.1
EPI_ISL_8439603	BA.1
EPI_ISL_8799300	BA.1
EPI_ISL_11348460	BA.1
EPI_ISL_10878483	BA.1
EPI_ISL_8128449	BA.1
EPI_ISL_7971558	BA.1
EPI_ISL_9328098	BA.1
EPI_ISL_8465063	BA.1
EPI_ISL_7337475	BA.1
EPI_ISL_8578281	BA.1
EPI_ISL_8975006	BA.1
EPI_ISL_8799267	BA.1
EPI_ISL_9325969	BA.1
EPI_ISL_9401613	BA.1
EPI_ISL_8801179	BA.1
EPI_ISL_8578329	BA.1
EPI_ISL_8801176	BA.1
EPI_ISL_9328089	BA.1
EPI_ISL_8636527	BA.1
EPI_ISL_8636508	BA.1
EPI_ISL_8801219	BA.1
EPI_ISL_10667153	BA.1
EPI_ISL_10210275	BA.1
EPI_ISL_10210401	BA.1
EPI_ISL_9851794	BA.1
EPI_ISL_8688119	BA.2
EPI_ISL_11763526	BA.2
EPI_ISL_9686174	BA.2
EPI_ISL_10210302	BA.2
EPI_ISL_9423093	BA.2
EPI_ISL_10646575	BA.2
EPI_ISL_10878685	BA.2
EPI_ISL_9401641	BA.2
EPI_ISL_11903032	BA.2
EPI_ISL_11542271	BA.2
EPI_ISL_9963202	BA.2
EPI_ISL_9851815	BA.2
EPI_ISL_9963214	BA.2
EPI_ISL_10646574	BA.2
EPI_ISL_11867479	BA.2
EPI_ISL_9201493	BA.2
EPI_ISL_9401646	BA.2
EPI_ISL_11542520	BA.2
EPI_ISL_10646271	BA.2
EPI_ISL_11542598	BA.2
EPI_ISL_10210585	BA.2
EPI_ISL_9679664	BA.2
EPI_ISL_9149801	BA.2
EPI_ISL_10646526	BA.2
EPI_ISL_12181264	BA.2
EPI_ISL_11139871	BA.2
EPI_ISL_11867507	BA.2
EPI_ISL_11139913	BA.2
EPI_ISL_11867478	BA.2
EPI_ISL_12181266	BA.2
EPI_ISL_9149817	BA.3
EPI_ISL_10210604	BA.3
EPI_ISL_10667188	BA.3
EPI_ISL_9962993	BA.3
EPI_ISL_11348502	BA.3
EPI_ISL_8799075	BA.3
EPI_ISL_10210525	BA.3
EPI_ISL_11105026	BA.3
EPI_ISL_11105008	BA.3
EPI_ISL_10646275	BA.3
EPI_ISL_9963182	BA.3
EPI_ISL_8439588	BA.3
EPI_ISL_10210324	BA.3
EPI_ISL_8439645	BA.3
EPI_ISL_7971653	BA.3
EPI_ISL_9313505	BA.3
EPI_ISL_10210246	BA.3
EPI_ISL_10640454	BA.3
EPI_ISL_9962723	BA.3
EPI_ISL_10646408	BA.3
EPI_ISL_8616600	BA.3
EPI_ISL_8799089	BA.3
EPI_ISL_8439635	BA.3
EPI_ISL_9962917	BA.3
EPI_ISL_11120428	BA.3
EPI_ISL_9963148	BA.3
EPI_ISL_9679543	BA.3
EPI_ISL_9963171	BA.3
EPI_ISL_7740766	BA.3
EPI_ISL_7740765	BA.3
EPI_ISL_12006243	BA.4
EPI_ISL_11867458	BA.4
EPI_ISL_12043281	BA.4
EPI_ISL_12043283	BA.4
EPI_ISL_12006222	BA.4
EPI_ISL_11542603	BA.4
EPI_ISL_11867499	BA.4
EPI_ISL_11674413	BA.4
EPI_ISL_11903035	BA.4
EPI_ISL_11542567	BA.4
EPI_ISL_11674410	BA.4
EPI_ISL_11867366	BA.4
EPI_ISL_12043265	BA.4
EPI_ISL_12043231	BA.4
EPI_ISL_12043263	BA.4
EPI_ISL_11867456	BA.4
EPI_ISL_12043278	BA.4
EPI_ISL_11674411	BA.4
EPI_ISL_12006289	BA.4
EPI_ISL_11542270	BA.4
EPI_ISL_12006286	BA.4
EPI_ISL_12043296	BA.4
EPI_ISL_12097314	BA.4
EPI_ISL_12180585	BA.4
EPI_ISL_12043218	BA.4
EPI_ISL_12006251	BA.4
EPI_ISL_12006245	BA.4
EPI_ISL_12043286	BA.4
EPI_ISL_11867409	BA.4
EPI_ISL_11542474	BA.4
EPI_ISL_11903052	BA.5
EPI_ISL_11903043	BA.5
EPI_ISL_11763512	BA.5
EPI_ISL_11763533	BA.5
EPI_ISL_11903044	BA.5
EPI_ISL_11542604	BA.5
EPI_ISL_11763534	BA.5
EPI_ISL_11867415	BA.5
EPI_ISL_11763515	BA.5
EPI_ISL_11674432	BA.5
EPI_ISL_12097410	BA.5
EPI_ISL_11763513	BA.5
EPI_ISL_12043282	BA.5
EPI_ISL_12181267	BA.5
EPI_ISL_11763514	BA.5
EPI_ISL_11903046	BA.5
EPI_ISL_11763516	BA.5
EPI_ISL_11903045	BA.5
EPI_ISL_11763528	BA.5
EPI_ISL_11867511	BA.5
EPI_ISL_11763529	BA.5
EPI_ISL_11903062	BA.5
EPI_ISL_11763530	BA.5
EPI_ISL_12097383	BA.5
EPI_ISL_11903041	BA.5
EPI_ISL_11763507	BA.5
EPI_ISL_11763535	BA.5
EPI_ISL_11903047	BA.5
EPI_ISL_12181265	BA.5
EPI_ISL_12097362	BA.5
EPI_ISL_466615	B.1.1
